value,EncryptionTime(ms),EncryptedSize(KB)
3,2.572,91.150
4,4.048,91.180
4,2.791,91.324
4,2.279,91.133
3,3.108,91.167
3,2.258,91.143
3,2.303,91.251
4,2.468,91.188
4,3.614,91.174
4,3.635,91.119
5,2.966,91.175
4,3.891,91.166
4,5.207,91.218
5,2.373,91.089
2,2.209,91.077
3,2.348,91.199
4,2.245,91.173
5,3.564,91.114
4,2.434,91.071
5,2.334,91.178
5,3.973,91.062
4,2.445,91.111
5,2.208,91.099
3,2.426,91.217
4,4.047,91.065
5,2.372,91.132
4,2.477,91.194
1,2.703,91.222
4,4.228,91.184
4,2.668,91.107
5,2.629,91.131
4,2.238,91.213
4,2.276,91.208
5,2.640,91.154
4,2.225,91.179
5,3.139,91.156
5,2.431,91.189
4,4.396,91.216
3,2.275,91.157
4,2.314,91.129
5,4.374,91.224
3,3.359,91.134
4,2.443,91.172
4,2.265,91.211
5,2.225,91.197
5,2.475,91.188
5,4.460,91.198
3,2.465,91.172
1,2.262,91.160
4,2.193,91.165
4,2.321,91.176
4,2.365,91.156
4,2.288,91.026
4,2.697,91.172
3,2.303,91.166
5,2.311,91.274
4,2.301,91.104
5,2.301,91.254
4,2.353,91.236
4,2.185,91.146
5,2.362,91.149
4,2.325,91.266
5,2.312,91.177
4,2.436,91.178
4,2.368,91.145
3,3.461,91.145
4,2.323,91.224
4,2.753,91.244
4,2.227,91.196
5,2.340,91.207
4,2.395,91.145
5,2.465,91.177
5,3.846,91.227
4,2.220,91.184
4,2.443,91.151
4,2.400,91.209
4,2.428,91.174
5,2.314,91.143
4,2.313,91.216
4,2.327,91.158
2,2.227,91.164
5,3.545,91.117
5,2.391,91.149
1,2.569,91.176
5,2.366,91.142
4,2.292,91.137
4,2.419,91.109
4,2.426,91.206
5,2.335,91.115
4,2.359,91.272
4,3.782,91.247
4,2.319,91.294
3,2.203,91.149
3,2.407,91.167
4,2.227,91.194
4,2.316,91.218
5,2.389,91.176
4,2.310,91.215
4,2.606,91.145
5,2.342,91.215
5,2.227,91.186
4,2.227,91.180
4,4.334,91.147
4,2.616,91.233
4,2.528,91.220
4,2.730,91.183
4,2.320,91.160
5,2.260,91.072
4,2.287,91.193
4,2.752,91.198
3,2.487,91.217
4,2.247,91.200
5,2.200,91.146
5,5.834,91.232
4,2.334,91.230
4,2.278,91.201
4,2.265,91.222
5,2.876,91.251
4,2.694,91.233
4,2.361,91.119
4,2.250,91.115
4,2.386,91.152
2,2.294,91.064
4,2.348,91.188
4,2.312,91.185
4,3.961,91.120
3,2.428,91.161
4,2.290,91.241
4,2.671,91.186
5,2.202,91.143
5,2.474,91.173
4,2.264,91.197
4,2.314,91.167
5,3.928,91.234
4,2.671,91.185
4,3.583,91.160
4,3.929,91.116
4,2.301,91.143
4,3.988,91.182
3,6.820,91.197
4,2.978,91.308
5,8.268,91.192
3,2.327,91.156
4,2.330,91.145
5,2.324,91.198
3,4.195,91.175
4,3.434,91.175
4,2.515,91.156
4,2.374,91.176
3,2.265,91.195
3,2.751,91.206
3,4.000,91.196
5,2.251,91.185
4,2.627,91.280
5,2.800,91.182
3,4.155,91.065
4,2.287,91.121
4,2.222,91.136
4,2.351,91.197
5,2.223,91.189
4,2.275,91.127
4,2.198,91.155
4,2.538,91.163
4,2.356,91.167
4,2.285,91.212
4,2.404,91.160
4,2.442,91.222
4,2.254,91.215
5,2.404,91.174
4,2.276,91.254
4,2.167,91.245
4,2.842,91.212
4,2.225,91.142
4,2.590,91.179
4,2.423,91.272
4,2.463,91.201
4,3.869,91.101
3,2.301,91.210
4,2.346,91.251
4,4.066,91.160
5,4.809,91.180
4,2.163,91.256
4,4.549,91.137
4,4.593,91.230
2,3.331,91.108
5,3.877,91.093
5,4.813,91.189
3,2.275,91.281
5,2.379,91.222
3,4.212,91.184
5,2.609,91.154
4,2.217,91.164
3,4.112,91.074
4,2.226,91.136
4,3.112,91.274
5,4.364,91.138
5,2.265,91.158
4,2.413,91.193
4,3.439,91.206
4,2.815,91.186
4,2.264,91.194
4,2.455,91.162
4,4.050,91.127
4,2.509,91.227
4,2.426,91.149
4,4.943,91.294
3,2.405,91.205
4,2.342,91.177
4,5.283,91.188
4,4.312,91.178
3,2.396,91.197
2,7.928,91.223
5,2.502,91.069
4,2.301,91.193
5,6.123,91.073
4,2.313,91.146
4,2.547,91.120
4,3.564,91.234
4,2.290,91.209
3,2.523,91.246
3,2.177,91.148
4,5.495,91.152
5,3.925,91.206
4,2.299,91.183
4,4.783,91.229
2,2.400,91.195
4,2.205,91.212
5,4.731,91.180
5,2.492,91.279
2,6.945,91.199
4,3.508,91.151
4,2.658,91.151
4,2.304,91.271
3,4.257,91.156
3,2.378,91.229
4,2.215,91.135
2,4.231,91.154
3,11.611,91.236
5,3.510,91.223
4,3.724,91.185
4,2.364,91.251
5,3.321,91.132
5,3.574,91.210
4,5.616,91.225
4,2.421,91.194
3,2.345,91.198
3,16.888,91.069
4,2.656,91.184
5,2.680,91.255
5,5.411,91.070
5,2.793,91.221
5,2.371,91.210
4,4.133,91.216
4,2.571,91.273
3,2.349,91.106
4,7.214,91.129
5,3.646,91.161
5,3.288,91.121
4,4.042,91.252
5,2.343,91.186
4,4.078,91.216
3,3.663,91.242
5,2.855,91.201
3,2.315,91.211
4,2.331,91.208
4,3.813,91.131
3,2.677,91.201
4,2.461,91.213
5,4.955,91.213
5,2.760,91.153
3,2.391,91.228
4,5.885,91.246
5,3.670,91.038
5,3.120,91.037
3,4.961,91.156
5,4.897,91.223
4,3.463,91.179
4,4.866,91.235
5,3.907,91.109
3,2.781,91.167
4,3.566,91.199
4,2.531,91.170
4,4.287,91.225
4,3.296,91.276
5,4.500,91.118
4,8.006,91.161
4,4.748,91.185
4,5.634,91.156
4,2.534,91.130
4,3.927,91.166
4,9.381,91.250
4,4.351,91.207
4,3.877,91.180
4,4.728,91.204
4,3.351,91.200
4,3.782,91.188
4,4.358,91.176
4,4.117,91.240
4,4.169,91.275
4,3.809,91.183
4,3.862,91.246
4,2.536,91.126
4,2.857,91.192
4,2.549,91.168
4,2.307,91.216
3,3.219,91.208
4,4.551,91.080
4,2.391,91.176
4,3.420,91.141
5,6.232,91.136
4,2.436,91.094
3,2.421,91.251
5,4.857,91.097
5,2.493,91.152
4,2.363,91.152
4,4.496,91.111
4,2.297,91.150
5,2.902,91.154
4,4.956,91.101
4,2.764,91.180
4,4.411,91.177
5,8.248,91.126
4,3.230,91.222
5,6.979,91.217
4,3.506,91.119
4,6.156,91.221
4,3.889,91.142
4,2.863,91.229
4,15.096,91.184
4,4.025,91.183
4,2.511,91.291
5,4.418,91.164
4,4.027,91.174
5,2.384,91.205
4,4.035,91.164
5,2.397,91.141
3,4.323,91.105
4,3.810,91.132
5,2.755,91.192
5,2.826,91.160
5,3.447,91.180
4,3.724,91.193
3,2.861,91.167
4,2.416,91.188
4,2.410,91.220
5,2.280,91.218
4,3.940,91.296
4,5.849,91.159
4,3.473,91.196
5,2.300,91.198
5,5.051,91.139
3,2.318,91.094
5,2.466,91.101
3,4.618,91.178
4,2.478,91.156
2,2.923,91.159
4,2.726,91.168
5,2.332,91.180
4,2.352,91.279
4,3.995,91.106
5,2.413,91.156
4,4.343,91.167
3,2.680,91.162
3,3.896,91.171
4,2.438,91.109
4,2.768,91.147
5,3.944,91.148
3,2.309,91.251
4,2.364,91.116
4,5.072,91.159
4,2.365,91.173
4,2.751,91.101
4,3.848,91.232
5,2.633,91.104
5,2.847,91.152
3,4.551,91.193
4,2.497,91.224
4,2.404,91.225
4,4.190,91.209
4,2.347,91.161
5,3.831,91.155
3,3.946,91.279
3,3.780,91.142
4,2.436,91.175
4,7.970,91.188
4,2.289,91.285
4,2.430,91.183
4,2.898,91.108
4,5.027,91.077
4,2.580,91.162
5,2.295,91.140
4,4.714,91.202
4,4.082,91.192
4,2.841,91.217
4,4.637,91.236
4,2.296,91.134
3,2.338,91.125
4,3.864,91.132
3,2.696,91.195
4,2.277,91.146
4,4.274,91.102
4,2.287,91.233
4,3.031,91.286
4,3.690,91.200
5,2.305,91.189
4,3.016,91.182
2,2.353,91.138
4,2.371,91.173
4,2.481,91.161
3,2.210,91.063
4,5.066,91.109
4,2.789,91.184
4,3.503,91.158
4,4.958,91.251
4,4.312,91.128
4,3.891,91.162
4,3.834,91.189
3,2.297,91.186
4,2.293,91.157
2,4.363,91.161
4,2.465,91.173
3,2.298,91.086
4,4.296,91.141
3,2.475,91.134
3,2.362,91.173
4,4.843,91.169
3,2.742,91.167
4,2.277,91.269
3,2.377,91.198
5,4.406,91.207
4,4.003,91.293
4,2.643,91.174
4,4.551,91.123
5,2.526,91.256
4,2.569,91.138
2,4.919,91.188
4,3.565,91.123
5,2.262,91.143
4,3.561,91.217
5,2.427,91.242
4,4.160,91.185
4,5.463,91.288
4,4.192,91.059
3,2.256,91.219
4,4.763,91.212
3,2.385,91.146
4,2.390,91.155
4,2.730,91.083
4,2.669,91.231
3,2.505,91.225
