QoS_type,QoS_type_EncryptionTime(ms),QoS_type_EncryptedSize(KB),QoD_model,QoD_model_EncryptionTime(ms),QoD_model_EncryptedSize(KB),QoD_os-version,QoD_os-version_EncryptionTime(ms),QoD_os-version_EncryptedSize(KB),QoS_operator,QoS_operator_EncryptionTime(ms),QoS_operator_EncryptedSize(KB),MOS,MOS_EncryptionTime(ms),MOS_EncryptedSize(KB)
5,2.472,91.234,13,3.992,91.043,13,2.298,91.058,4,2.672,91.166,3,2.333,91.225
3,2.284,91.129,10,2.248,91.218,1,2.348,91.142,4,2.418,91.186,4,2.571,91.188
4,2.238,91.162,9,2.390,91.183,2,2.594,91.283,2,2.418,91.131,4,2.352,91.148
2,2.302,91.228,9,2.222,91.237,2,2.340,91.187,2,2.347,91.151,4,2.467,91.168
3,2.597,91.208,8,2.600,91.271,8,2.262,91.195,4,2.284,91.243,3,2.221,91.102
2,2.264,91.183,13,2.386,91.168,5,2.289,91.145,4,2.258,91.278,4,3.018,91.272
2,2.233,91.158,10,4.067,91.168,1,2.256,91.226,2,2.334,91.187,3,2.443,91.162
3,2.309,91.168,10,2.830,91.075,1,4.182,91.153,4,2.300,91.223,4,2.425,91.231
3,2.739,91.199,2,2.419,91.196,11,2.290,91.149,4,2.422,91.238,4,2.702,91.149
4,2.689,91.158,9,4.358,91.212,2,2.460,91.221,4,2.258,91.205,5,2.301,91.080
5,2.249,91.262,8,2.418,91.182,8,2.359,91.194,4,2.355,91.111,4,5.078,91.196
5,3.132,91.142,8,2.380,91.228,8,2.352,91.244,4,2.565,91.114,3,2.611,91.150
3,3.814,91.187,10,2.340,91.121,1,2.519,91.112,4,2.323,91.166,3,2.248,91.215
3,2.809,91.151,10,4.203,91.165,1,2.728,91.138,4,2.455,91.196,4,2.188,91.172
4,2.255,91.216,9,2.250,91.207,2,2.804,91.201,4,2.204,91.097,4,2.553,91.270
2,2.308,91.150,8,2.425,91.234,8,2.451,91.180,4,2.290,91.141,4,2.259,91.174
4,3.918,91.195,9,3.824,91.157,2,3.868,91.199,4,2.228,91.196,4,2.360,91.200
3,3.534,91.260,10,2.359,91.149,1,2.397,91.048,4,3.249,91.137,4,2.338,91.093
5,4.049,91.188,8,2.360,91.216,8,2.277,91.149,4,2.507,91.111,5,2.374,91.183
2,2.244,91.238,9,2.400,91.160,2,4.104,91.191,2,2.372,91.072,4,2.980,91.156
3,4.046,91.246,8,2.325,91.166,8,2.586,91.151,1,3.861,91.201,5,3.625,91.165
5,2.369,91.143,2,3.489,91.171,11,3.569,91.196,4,2.293,91.072,4,2.628,91.165
4,2.439,91.115,2,4.136,91.141,11,2.321,91.173,3,3.906,91.216,4,4.059,91.222
4,2.445,91.088,0,3.963,91.195,0,3.644,91.178,3,2.424,91.102,1,2.475,91.174
5,2.725,91.188,13,4.145,91.146,5,2.463,91.248,1,2.222,91.142,3,2.354,91.163
5,2.324,91.189,9,2.496,91.177,4,2.536,91.162,4,2.611,91.125,5,2.433,91.229
5,3.947,91.120,9,4.152,91.182,16,2.812,91.138,4,3.879,91.241,4,2.777,91.164
2,3.972,91.182,10,2.353,91.173,1,2.754,91.227,1,4.253,91.239,5,3.207,91.181
5,2.244,91.215,0,7.386,91.107,0,2.339,91.028,4,2.269,91.165,4,2.421,91.159
3,4.179,91.116,10,2.874,91.168,1,2.224,91.253,4,2.727,91.131,3,2.303,91.125
2,2.345,91.066,9,4.070,91.224,2,2.359,91.099,2,2.279,91.104,5,2.398,91.194
2,3.881,91.101,10,2.389,91.181,1,2.470,91.194,4,2.236,91.157,4,2.347,91.166
5,2.355,91.129,2,3.005,91.145,11,3.783,91.214,4,2.729,91.229,4,3.060,91.203
5,2.968,91.185,13,4.313,91.169,5,2.301,91.160,1,3.985,91.273,4,2.382,91.243
5,2.282,91.197,2,2.299,91.269,11,2.346,91.227,4,2.297,91.190,3,2.331,91.128
2,2.549,91.131,2,2.235,91.156,11,2.319,91.148,3,2.312,91.141,5,2.344,91.168
4,2.754,91.191,9,2.523,91.179,2,2.288,91.211,4,2.277,91.219,5,4.111,91.139
3,3.813,91.118,13,2.305,91.172,7,2.970,91.152,4,2.342,91.198,4,2.537,91.113
5,3.049,91.247,8,4.169,91.219,8,3.227,91.085,1,2.739,91.159,4,3.739,91.180
5,4.055,91.178,8,3.891,91.101,8,4.030,91.240,4,2.247,91.096,4,2.487,91.229
2,2.286,91.190,2,2.847,91.153,11,2.266,91.104,1,4.407,91.252,4,2.956,91.262
2,3.544,91.315,13,2.217,91.214,5,2.449,91.267,4,2.254,91.214,4,2.409,91.200
5,2.393,91.244,13,2.376,91.161,12,2.534,91.090,4,3.522,91.157,4,2.513,91.224
5,2.306,91.231,8,3.926,91.239,8,2.296,91.058,4,2.362,91.234,4,2.274,91.212
5,2.250,91.234,8,2.427,91.235,8,2.461,91.194,4,2.282,91.124,4,2.349,91.173
4,3.949,91.127,2,3.911,91.230,11,2.389,91.194,1,4.437,91.095,5,2.529,91.184
5,2.755,91.126,8,2.265,91.227,8,3.957,91.180,4,2.341,91.156,4,2.687,91.188
5,4.286,91.165,8,2.521,91.192,8,3.366,91.160,4,3.399,91.157,5,4.472,91.236
4,3.747,91.155,2,4.868,91.102,11,2.595,91.159,4,3.050,91.186,3,2.308,91.215
5,2.900,91.099,8,2.260,91.247,9,2.256,91.177,4,3.785,91.138,4,4.229,91.148
2,3.728,91.141,10,2.816,91.239,1,2.357,91.161,1,2.266,91.220,5,2.645,91.150
5,3.896,91.176,12,3.457,91.238,14,2.306,91.155,4,2.306,91.133,3,3.890,91.293
5,2.251,91.180,8,2.188,91.197,8,4.051,91.114,4,2.460,91.251,4,2.233,91.210
5,4.034,91.141,8,2.348,91.276,8,3.175,91.197,4,4.144,91.157,3,2.303,91.183
5,4.253,91.182,9,4.263,91.314,3,3.096,91.271,4,4.071,91.165,5,3.941,91.140
2,2.286,91.170,10,2.815,91.168,1,2.325,91.137,1,2.396,91.252,4,2.784,91.221
5,3.055,91.180,11,2.531,91.251,15,3.957,91.122,4,2.380,91.136,5,3.984,91.238
2,4.119,91.151,8,2.516,91.171,8,2.391,91.192,2,2.360,91.172,3,2.338,91.269
5,2.286,91.202,8,2.250,91.250,8,2.198,91.171,4,2.237,91.142,5,2.246,91.185
5,2.439,91.251,13,2.352,91.144,12,2.256,91.262,4,2.248,91.135,5,2.303,91.128
5,2.384,91.056,8,2.435,91.109,8,2.306,91.154,4,2.345,91.250,5,3.676,91.164
4,2.297,91.187,9,2.351,91.169,2,2.542,91.218,4,3.618,91.286,4,2.526,91.196
