provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (%),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash
https://devnet.zama.ai,51,35,156.16,44.22,24.00,0.87,5.28,0x3a9a0583426fdb0f0524e968330e81dbd2a4a92daf6efd7fa1238d12182677ca
https://devnet.zama.ai,52,28,156.25,44.22,26.09,0.88,4.97,0x10cfaae9dfa46bec2d907986e37e012e3a3c2159fd0f16ed6cbdaa796071f6d4
https://devnet.zama.ai,53,39,155.96,44.22,32.26,1.39,5.27,0xc0a94a5422d351a8f9a17888460ec194814bb5dfb4b937606862a5103eab0656
https://devnet.zama.ai,54,46,156.24,44.22,19.44,0.87,4.18,0x7f67a0e1ac9ffbb87bd632f079122b93c98fd491cbd33cc9052d3b6c22a34bef
https://devnet.zama.ai,55,49,156.08,44.22,28.21,0.87,5.02,0xdd7b0275052ac956ce5141fc5655c4ad1404a828a9c707081ea2ac24786e914c
https://devnet.zama.ai,56,32,156.06,44.22,17.39,0.87,5.28,0xc988bd023409599def08ae11de41673e423625763690eee9a1cb8c5dc773d4e2
https://devnet.zama.ai,57,47,156.23,44.22,27.78,0.87,4.94,0x1fc669d0fc12fe4c4b9d901bbbab760b49b49e991addbc34700d62c8f52f5452
https://devnet.zama.ai,58,56,156.10,44.22,39.13,1.27,4.91,0xea8725f05dcdaa0becc0867ff15f973f654db52ac511987233bf89b8c05471d8
https://devnet.zama.ai,59,50,156.23,44.22,20.51,0.87,5.26,0x837025e2bfd812f94a97daf95b18c5b5756d287a25224d34d7029ede0eeb089d
https://devnet.zama.ai,60,48,156.26,44.22,28.21,0.87,5.12,0x16b68c2cb49d58dde5672e4f3d749108bef74cf4b0a54b9f17690a89f3f32a05
